0,1,2,3
7.06,0.26,2.94,-0.26394
1.87,-5.96,2.88,-0.26394
-0.57,6.12,-5.90,0.79181
-0.44,7.15,-5.29,1.05574
0.41,8.98,-1.45,-1.05574
-4.77,11.42,-7.06,0.52787
-5.20,13.07,-7.79,0.26394
-2.58,14.23,-2.55,0.52787
-3.74,9.23,-9.07,0.00000
3.76,5.02,3.12,-1.05574
-3.19,3.31,-7.00,-0.52787
-1.05,1.97,-1.63,-0.79181
7.60,1.24,7.39,1.05574
-2.21,-3.52,0.50,-0.26394
-3.00,-11.57,3.00,0.26394
3.70,-10.77,3.06,0.00000
-1.48,-14.61,3.06,0.26394
-2.40,-5.59,1.05,0.00000
5.78,-12.24,7.70,-0.52787
4.56,-17.85,12.82,1.58361
-0.50,-10.83,1.84,0.26394
-2.46,-6.32,-0.29,0.52787
-5.99,12.58,-8.77,0.26394
-1.54,10.26,-4.74,-0.79181
-3.07,9.29,-3.40,1.58361
2.24,9.84,0.50,1.05574
-4.90,7.64,-4.19,0.52787
-0.93,11.18,-1.51,-1.05574
-0.63,12.21,-2.30,-1.05574
-7.88,9.23,-5.05,-0.26394
3.95,5.39,-2.91,-0.79181
4.37,-2.18,3.92,-0.79181
1.26,-6.20,5.93,0.26394
2.73,-4.31,7.15,1.58361
3.46,-1.75,0.20,-0.26394
9.80,11.24,-0.29,-0.26394
-0.50,-5.71,6.84,0.00000
6.75,-7.79,5.99,-0.26394
4.13,-11.50,2.94,-0.52787
-1.24,-10.16,-3.58,0.00000
-2.46,5.02,-3.34,0.79181
-1.24,7.70,-5.05,0.26394
-7.27,13.68,-5.84,-0.79181
2.54,8.07,-3.64,0.00000
1.93,-4.68,1.97,-1.05574
5.23,-6.08,9.95,0.00000
0.84,-9.80,-0.78,-0.79181
0.35,-14.49,5.44,0.26394
-0.32,-8.52,2.51,0.79181
7.60,9.35,-10.66,1.05574
-4.96,8.31,1.48,0.00000
1.57,8.43,-0.60,-0.26394
