,x-axis,y-axis,z-axis,voltage,current,temperature
288,4.35,-5.86,1.81,2573.242,3959.037,32
289,0.14,-1.35,4.19,2587.891,4750.845,32
290,-2.67,4.75,-3.07,2573.242,3959.037,32
291,-4.43,5.12,-4.1,2553.711,2903.294,32
292,-2.12,5.18,-1.12,2563.477,3431.166,32
293,5.14,-6.59,6.38,2563.477,3431.166,32
294,3,-5,4.49,2558.594,3167.229,32
295,-1.08,2.98,-1,2578.125,4222.973,32
296,-4.62,5.06,-3.19,2563.477,3431.166,32
297,-2.67,2.98,-4.47,2548.828,2639.358,32
298,3.25,-7.14,2.66,2578.125,4222.973,32
299,4.29,0.3,13.82,2558.594,3167.229,32
300,3.55,-1.47,-0.45,2563.477,3431.166,32
301,-2.48,5.79,-5.57,2553.711,2903.294,32
302,1.54,1.58,5.29,2534.18,1847.551,32
303,5.26,-14.76,3.94,2587.891,4750.845,32
304,2.03,-2.56,4.86,2578.125,4222.973,32
305,6.6,-10.13,8.09,2568.359,3695.101,32
306,-4.92,5.97,-4.96,2553.711,2903.294,32
307,-2.24,2.62,-3.37,2573.242,3959.037,32
308,1.18,-4.33,5.04,2578.125,4222.973,32
309,3.92,-4.82,7.11,2578.125,4222.973,32
310,3.98,-9.27,3.03,2573.242,3959.037,32
311,-2.97,8.72,-0.63,2553.711,2903.294,32
312,-2.3,4.94,-3.68,2553.711,2903.294,32
